libID,species,time,realtime,treatment
X1,YA,1,8:00,D
X2,YA,1,8:00,W
X41,YA,1,8:00,W
X39,YA,1,8:00,D
X81,YA,1,8:00,W
X82,YA,1,8:00,D
X65,YF,1,8:00,D
X118,YF,1,8:00,D
X102,YF,1,8:00,D
X4,YF,1,8:00,D
X135,YF,1,8:00,W
X103,YF,1,8:00,W
X5,YF,1,8:00,W
X43,YG,1,8:00,W
X37,YG,1,8:00,D
X3,YG,1,8:00,D
X6,YG,1,8:00,W
X152,YG,1,8:00,W
X115,YG,1,8:00,W
X140,YG,1,8:00,D
X151,YG,1,8:00,W
X7,YA,2,12:00,D
X8,YA,2,12:00,W
X49,YA,2,12:00,W
X47,YA,2,12:00,D
X83,YA,2,12:00,W
X80,YA,2,12:00,D
X66,YF,2,12:00,D
X149,YF,2,12:00,D
X108,YF,2,12:00,D
X10,YF,2,12:00,D
X64,YF,2,12:00,W
X120,YF,2,12:00,W
X106,YF,2,12:00,W
X11,YF,2,12:00,W
X51,YG,2,12:00,W
X38,YG,2,12:00,D
X9,YG,2,12:00,D
X12,YG,2,12:00,W
X111,YG,2,12:00,D
X113,YG,2,12:00,W
X146,YG,2,12:00,D
X139,YG,2,12:00,W
X13,YA,3,16:00,D
X14,YA,3,16:00,W
X50,YA,3,16:00,W
X48,YA,3,16:00,D
X77,YA,3,16:00,W
X84,YA,3,16:00,D
X67,YF,3,16:00,D
X136,YF,3,16:00,D
X101,YF,3,16:00,D
X16,YF,3,16:00,D
X69,YF,3,16:00,W
X134,YF,3,16:00,W
X104,YF,3,16:00,W
X17,YF,3,16:00,W
X52,YG,3,16:00,W
X45,YG,3,16:00,D
X15,YG,3,16:00,D
X18,YG,3,16:00,W
X122,YG,3,16:00,D
X121,YG,3,16:00,W
X142,YG,3,16:00,D
X144,YG,3,16:00,W
X19,YA,4,20:00,D
X20,YA,4,20:00,W
X58,YA,4,20:00,W
X56,YA,4,20:00,D
X78,YA,4,20:00,W
X79,YA,4,20:00,D
X73,YF,4,20:00,D
X132,YF,4,20:00,D
X107,YF,4,20:00,D
X22,YF,4,20:00,D
X70,YF,4,20:00,W
X131,YF,4,20:00,W
X105,YF,4,20:00,W
X23,YF,4,20:00,W
X59,YG,4,20:00,W
X53,YG,4,20:00,D
X21,YG,4,20:00,D
X24,YG,4,20:00,W
X117,YG,4,20:00,D
X119,YG,4,20:00,W
X148,YG,4,20:00,D
X137,YG,4,20:00,W
X25,YA,5,0:00,D
X26,YA,5,0:00,W
X62,YA,5,0:00,W
X57,YA,5,0:00,D
X85,YA,5,0:00,W
X91,YA,5,0:00,D
X74,YF,5,0:00,D
X133,YF,5,0:00,D
X110,YF,5,0:00,D
X28,YF,5,0:00,D
X71,YF,5,0:00,W
X130,YF,5,0:00,W
X114,YF,5,0:00,W
X29,YF,5,0:00,W
X60,YG,5,0:00,W
X61,YG,5,0:00,D
X27,YG,5,0:00,D
X30,YG,5,0:00,W
X126,YG,5,0:00,D
X127,YG,5,0:00,W
X147,YG,5,0:00,D
X145,YG,5,0:00,W
X31,YA,6,4:00,D
X32,YA,6,4:00,W
X42,YA,6,4:00,W
X40,YA,6,4:00,D
X86,YA,6,4:00,W
X89,YA,6,4:00,D
X68,YF,6,4:00,D
X129,YF,6,4:00,D
X109,YF,6,4:00,D
X34,YF,6,4:00,D
X72,YF,6,4:00,W
X150,YF,6,4:00,W
X116,YF,6,4:00,W
X35,YF,6,4:00,W
X33,YG,6,4:00,D
X36,YG,6,4:00,W
X123,YG,6,4:00,D
X124,YG,6,4:00,W
X141,YG,6,4:00,D
X143,YG,6,4:00,W
X54,YG,6,4:00,D
