plant,time,area,species,adonitol,standardized
12,4,34919884,yf,0.947,36874217.53
9,5,37665877,yf,1.03,36568812.62
9,1,39694447,yf,1.08,36754117.59
9,4,42895250,yf,0.874,49079233.41
7,2,51410398,yf,1.23,41797071.54
12,1,53031194,yf,1.11,47775850.45
2,5,54128194,yf,0.825,65609932.12
8,4,54407722,yf,1.01,53869031.68
7,5,54795887,yf,1.01,54253353.47
8,1,56706583,yf,0.94,60326152.13
7,4,74437257,yf,0.985,75570819.29
8,5,75132471,yf,1.19,63136530.25
6,4,98267891,ya,1.01,97294941.58
1,4,104977846,ya,0.736,142632942.9
3,4,105948830,ya,0.926,114415583.2
2,1,106668972,yf,1.26,84657914.29
6,2,116146604,ya,0.936,124088252.1
3,2,121747309,ya,0.959,126952355.6
5,5,142147203,ya,0.928,153175865.3
11,2,144607790,ya,0.933,154992272.2
4,4,153708006,ya,0.59,260522044.1
6,1,166814745,ya,1.21,137863425.6
4,5,196000000,ya,0.974,201232032.9
4,1,226000000,ya,1.32,171212121.2
2,2,25994179,yf,1.01,25736810.89
10,1,27485211,yf,1.07,25687113.08
8,2,30721941,yf,0.957,32102341.69
12,5,31462963,yf,1.01,31151448.51
10,2,32755335,yf,0.923,35487903.58
10,5,34631669,yf,0.73,47440642.47
10,4,38216292,yf,1.05,36396468.57
9,2,39791587,yf,1.25,31833269.6
2,4,45366254,yf,0.947,47905231.26
12,2,47208893,yf,1.17,40349481.2
7,1,48048576,yf,1.24,38748851.61
5,4,111876359,ya,0.874,128004987.4
3,5,127411475,ya,0.892,142837976.5
6,5,129558240,ya,0.964,134396514.5
5,2,129839770,ya,0.945,137396582
11,4,131136968,ya,0.786,166840926.2
4,2,145035847,ya,1.09,133060410.1
1,2,146063680,ya,1.02,143199686.3
3,1,152650988,ya,0.949,160854571.1
11,5,152811347,ya,0.976,156569003.1
1,5,158053339,ya,1.08,146345684.3
1,1,171087424,ya,1.05,162940403.8
5,1,177195913,ya,0.973,182112963
11,1,185142517,ya,1.05,176326206.7
